,,,,,,,,,,,,,,,,,,,,,
API Key,Date,Year,Home Team,Away Team,Home Score,Away Score,Final Score,Winning Team,# Innings,End Top Inning?,Home Team PA #,Away Team PA #,Total Number PA,Homne Team # Pitches,Away Team # Pitches,Total # Pitches,Home Team Baserunners,Away Team Baserunners,Total # Baserunners,Pitching Changes,Time
529419,2018-03-29,2018,NYN,SLN,9,4,9-4,NYN,9,true,44,34,78,129,164,293,22,7,29,2,3:01
529409,2018-03-29,2018,SEA,CLE,2,1,2-1,SEA,9,true,29,35,64,137,91,228,7,9,16,2,2:35
529414,2018-03-29,2018,BAL,MIN,3,2,3-2,BAL,11,false,40,43,83,162,156,318,12,11,23,2,3:31
529410,2018-03-29,2018,ARI,COL,8,2,8-2,ARI,9,true,42,36,78,147,169,316,18,11,29,5,3:36
529418,2018-03-29,2018,LAN,SFN,0,1,1-0,SFN,9,false,36,36,72,131,154,285,11,10,21,0,2:55
529411,2018-03-29,2018,TEX,HOU,1,4,4-1,HOU,9,false,34,37,71,145,133,278,9,12,21,1,2:59
529406,2018-03-29,2018,TBA,BOS,6,4,6-4,TBA,9,true,35,35,70,123,154,277,11,10,21,2,3:00
529407,2018-03-29,2018,MIA,CHN,4,8,8-4,CHN,9,false,40,44,84,163,157,320,15,19,34,2,3:18
529416,2018-03-29,2018,ATL,PHI,8,5,8-5,ATL,9,false,40,38,78,171,137,308,15,13,28,7,3:28
529415,2018-03-29,2018,TOR,NYA,1,6,6-1,NYA,9,false,32,40,72,172,136,308,5,13,18,2,2:51
529408,2018-03-29,2018,KCA,CHA,7,14,14-7,CHA,9,false,39,47,86,183,168,351,12,22,34,5,3:26
529413,2018-03-29,2018,SDN,MIL,1,2,2-1,MIL,12,false,45,45,90,153,198,351,13,13,26,1,3:36
529412,2018-03-29,2018,OAK,ANA,6,5,6-5,OAK,11,false,47,47,94,164,198,362,18,14,32,3,4:02
529429,2018-03-30,2018,LAN,SFN,0,1,1-0,SFN,9,false,27,32,59,102,124,226,1,2,3,0,2:23
529421,2018-03-30,2018,TBA,BOS,0,1,1-0,BOS,9,false,31,34,65,139,109,248,5,9,14,2,2:46
529424,2018-03-30,2018,TEX,HOU,5,1,5-1,TEX,9,true,35,36,71,138,137,275,12,10,22,1,3:02
529427,2018-03-30,2018,TOR,NYA,2,4,4-2,NYA,9,false,33,37,70,131,125,256,6,12,18,2,2:49
529425,2018-03-30,2018,OAK,ANA,1,2,2-1,ANA,9,false,36,32,68,116,150,266,10,6,16,2,2:48
529420,2018-03-30,2018,CIN,WAS,0,2,2-0,WAS,9,false,36,37,73,152,147,299,9,10,19,1,3:09
529426,2018-03-30,2018,SDN,MIL,6,8,8-6,MIL,9,false,42,40,82,136,150,286,17,12,29,2,3:08
529420,2018-03-30,2018,CIN,WAS,0,2,2-0,WAS,9,false,36,37,73,152,147,299,9,10,19,1,3:09
529423,2018-03-30,2018,ARI,COL,9,8,9-8,ARI,9,true,38,41,79,157,155,312,14,15,29,1,3:22
529428,2018-03-30,2018,ATL,PHI,4,5,5-4,PHI,11,false,46,48,94,212,185,397,16,15,31,4,4:16
529417,2018-03-30,2018,DET,PIT,10,13,13-10,PIT,13,false,62,58,120,214,251,465,23,21,44,5,5:27
529417,2018-03-30,2018,DET,PIT,10,13,13-10,PIT,13,false,62,58,120,214,251,465,23,21,44,5,5:27
529422,2018-03-30,2018,MIA,CHN,2,1,2-1,MIA,17,false,70,67,137,259,259,518,21,18,39,3,5:18
529439,2018-03-31,2018,TOR,NYA,5,3,5-3,TOR,9,true,36,34,70,114,138,252,13,8,21,1,2:37
529442,2018-03-31,2018,LAN,SFN,5,0,5-0,LAN,9,true,31,37,68,146,112,258,7,12,19,0,2:43
