API Key,Date,Year,Home Team,Away Team,Home Score,Away Score,Final Score,Winning Team,# Innings,End Top Inning?,Home Team PA #,Away Team PA #,Total Number PA,Homne Team # Pitches,Away Team # Pitches,Total # Pitches,Home Team Baserunners,Away Team Baserunners,Total # Baserunners,Pitching Changes,Time
630851,2020-07-23,2020,WAS,NYA,1,4,4-1,NYA,6,true,18,26,44,99,75,174,3,10,13,0,1:43 (1:58 delay)
631377,2020-07-23,2020,LAN,SFN,8,1,8-1,LAN,9,true,43,33,76,108,149,257,18,8,26,3,2:56
631641,2020-07-24,2020,CHN,MIL,3,0,3-0,CHN,9,true,30,30,60,103,129,232,7,3,10,1,2:30
631242,2020-07-24,2020,NYN,ATL,1,0,1-0,NYN,9,true,29,32,61,132,93,225,7,5,12,0,2:25
630989,2020-07-24,2020,SLN,PIT,5,4,5-4,SLN,9,true,34,35,69,123,139,262,12,8,20,1,2:52
630941,2020-07-24,2020,TEX,COL,1,0,1-0,TEX,9,true,31,36,67,161,116,277,6,9,15,1,2:57
631438,2020-07-24,2020,HOU,SEA,8,2,8-2,HOU,9,true,39,32,71,120,150,270,14,6,20,1,2:49
631563,2020-07-24,2020,CLE,KCA,2,0,2-0,CLE,9,true,33,35,68,151,127,278,10,9,19,1,2:58
631589,2020-07-24,2020,CIN,DET,7,1,7-1,CIN,9,true,37,31,68,133,148,281,15,6,21,1,2:45
631378,2020-07-24,2020,LAN,SFN,9,1,9-1,LAN,9,true,46,32,78,122,151,273,21,5,26,2,2:55
631121,2020-07-24,2020,PHI,MIA,2,5,5-2,MIA,9,false,34,38,72,160,124,284,8,12,20,5,3:10
631091,2020-07-24,2020,SDN,ARI,7,2,7-2,SDN,9,true,37,33,70,127,168,295,15,8,23,2,3:05
631664,2020-07-24,2020,BOS,BAL,13,2,13-2,BOS,9,true,47,34,81,135,191,326,24,9,33,1,3:18
631514,2020-07-24,2020,CHA,MIN,5,10,10-5,MIN,9,false,38,43,81,175,152,327,12,16,28,6,3:31
630966,2020-07-24,2020,TBA,TOR,4,6,6-4,TOR,9,false,42,39,81,162,182,344,14,12,26,3,3:27
631182,2020-07-24,2020,OAK,ANA,7,3,7-3,OAK,10,false,41,44,85,173,169,342,15,15,30,3,3:46
630967,2020-07-25,2020,TBA,TOR,4,1,4-1,TBA,9,true,32,37,69,128,122,250,9,10,19,3,2:47
