ID,API Key,Date,Year,Home Team,Away Team,Home Score,Away Score,Final Score,Winning Team,# Innings,End Top Inning?,Home Team PA #,Away Team PA #,Total Number PA,Homne Team # Pitches,Away Team # Pitches,Total # Pitches,Home Team Baserunners,Away Team Baserunners,Total # Baserunners,Pitching Changes,Time
1,385475,2014-03-30,2014,HOU,VRA,6,1,6-1,HOU,9,1,37,32,69,116,130,246,15,7,22,2,2:31
2,380546,2014-03-30,2014,SDN,LAN,3,1,3-1,SDN,9,1,33,34,67,133,125,258,9,7,16,3,2:49
3,380547,2014-03-31,2014,CHA,MIN,5,3,5-3,CHA,9,1,34,34,68,133,130,263,13,8,21,3,2:35
4,380544,2014-03-31,2014,MIA,COL,10,1,10-1,MIA,9,1,41,33,74,128,155,283,17,7,24,1,2:58
5,380551,2014-03-31,2014,CIN,SLN,0,1,1-0,SLN,9,0,36,34,70,128,140,268,9,7,16,3,2:56
6,380552,2014-03-31,2014,TBA,TOR,9,2,9-2,TBA,9,1,44,34,78,129,154,283,21,8,29,1,3:04
7,380543,2014-03-31,2014,OAK,CLE,0,2,2-0,CLE,9,0,36,40,76,161,141,302,9,13,22,2,3:15
8,380545,2014-03-31,2014,DET,KCA,4,3,4-3,DET,9,0,35,38,73,141,155,296,11,10,21,2,3:01
9,380542,2014-03-31,2014,PIT,CHN,1,0,1-0,PIT,10,0,33,38,71,154,128,282,9,10,19,1,3:16
10,380541,2014-03-31,2014,BAL,BOS,2,1,2-1,BAL,9,1,29,40,69,169,117,286,7,13,20,1,2:53
11,380550,2014-03-31,2014,ARI,SFN,8,9,9-8,SFN,9,0,46,41,87,141,167,308,19,14,33,3,3:25
12,380553,2014-03-31,2014,NYN,WAS,7,9,9-7,WAS,10,0,40,45,85,179,163,342,10,15,25,4,3:47
13,380548,2014-03-31,2014,TEX,PHI,10,14,14-10,PHI,9,0,44,50,94,192,172,364,18,23,41,3,3:36
14,380540,2014-03-31,2014,MIL,ATL,2,0,2-0,MIL,9,1,30,34,64,137,105,242,9,7,16,1,2:45
15,380549,2014-03-31,2014,ANA,SEA,3,10,10-3,SEA,9,0,36,45,81,167,145,312,8,20,28,4,3:17
16,380561,2014-04-01,2014,ARI,SFN,5,4,5-4,ARI,9,1,36,36,72,123,147,270,15,9,24,0,2:46
17,380554,2014-04-01,2014,MIL,ATL,2,5,5-2,ATL,9,0,35,37,72,125,133,258,10,11,21,1,2:34
18,380556,2014-04-01,2014,MIA,COL,4,3,4-3,MIA,9,1,29,37,66,147,107,254,6,11,17,1,2:24
19,380557,2014-04-01,2014,SDN,LAN,2,3,3-2,LAN,9,0,36,37,73,161,153,314,10,10,20,2,3:38
20,380562,2014-04-01,2014,TBA,TOR,2,4,4-2,TOR,9,0,36,37,73,168,141,309,11,11,22,2,3:32
21,380558,2014-04-01,2014,HOU,NYA,6,2,6-2,HOU,9,1,34,37,71,138,127,265,10,11,21,2,2:51
22,380560,2014-04-01,2014,ANA,SEA,3,8,8-3,SEA,9,0,35,39,74,176,121,297,10,14,24,2,3:05
23,380559,2014-04-01,2014,TEX,PHI,3,2,3-2,TEX,9,0,40,35,75,141,144,285,17,10,27,2,3:14
24,380575,2014-04-02,2014,CIN,SLN,1,0,1-0,CIN,9,0,36,33,69,137,141,278,11,6,17,1,2:45 (2:40 delay)
25,380574,2014-04-02,2014,ARI,SFN,0,2,2-0,SFN,9,0,31,37,68,149,123,272,3,10,13,2,2:49
26,380573,2014-04-02,2014,ANA,SEA,2,8,8-2,SEA,9,0,32,42,74,155,132,287,5,17,22,1,2:39
27,380564,2014-04-02,2014,BAL,BOS,2,6,6-2,BOS,9,0,35,40,75,147,139,286,7,16,23,1,2:43
28,380577,2014-04-02,2014,NYN,WAS,1,5,5-1,WAS,9,0,32,40,72,160,139,299,5,13,18,0,3:00
29,380569,2014-04-02,2014,SDN,LAN,1,5,5-1,LAN,9,0,34,39,73,151,132,283,6,13,19,2,3:02
30,380572,2014-04-02,2014,TEX,PHI,4,3,4-3,TEX,9,0,37,38,75,148,131,279,12,12,24,1,3:02
31,380576,2014-04-02,2014,TBA,TOR,0,3,3-0,TOR,9,0,32,42,74,167,118,285,6,16,22,4,2:55
32,380567,2014-04-02,2014,MIA,COL,5,6,6-5,COL,9,0,40,42,82,141,167,308,13,16,29,2,3:23
33,380568,2014-04-02,2014,DET,KCA,2,1,2-1,DET,10,0,37,37,74,144,158,302,9,9,18,0,3:22
34,380566,2014-04-02,2014,OAK,CLE,6,1,6-1,OAK,9,1,42,32,74,132,172,304,17,5,22,2,3:05
35,380571,2014-04-02,2014,HOU,NYA,3,1,3-1,HOU,9,1,32,36,68,160,129,289,9,10,19,3,3:18
36,380555,2014-04-02,2014,OAK,CLE,4,6,6-4,CLE,9,0,39,44,83,177,160,337,14,18,32,5,3:33
37,380555,2014-04-02,2014,OAK,CLE,4,6,6-4,CLE,9,0,39,44,83,177,160,337,14,18,32,5,3:33
38,380570,2014-04-02,2014,CHA,MIN,7,6,7-6,CHA,11,0,49,53,102,228,187,415,18,19,37,5,4:19
39,380565,2014-04-02,2014,PIT,CHN,4,3,4-3,PIT,16,0,65,70,135,258,256,514,21,24,45,1,5:55
40,380563,2014-04-02,2014,MIL,ATL,0,1,1-0,ATL,9,0,30,32,62,113,123,236,3,5,8,2,2:36
41,380580,2014-04-03,2014,MIA,COL,8,5,8-5,MIA,9,1,41,39,80,140,143,283,17,13,30,1,3:14
42,380587,2014-04-03,2014,TBA,TOR,7,2,7-2,TBA,9,1,38,36,74,150,157,307,16,9,25,2,3:21
43,380586,2014-04-03,2014,CIN,SLN,6,7,7-6,SLN,9,0,41,42,83,177,173,350,13,18,31,4,3:41 (3:42 delay)
44,380584,2014-04-03,2014,OAK,SEA,3,2,3-2,OAK,12,0,46,45,91,164,199,363,16,9,25,3,4:02
